,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
81,CT,Northeast,NORFOLK 2 SW,1948-08-11,1948,8,11,13.0,1.0,13.0,Summer
82,CT,Northeast,NORFOLK 2 SW,1948-08-12,1948,8,12,3.0,2.0,1.5,Summer
83,CT,Northeast,NORFOLK 2 SW,1948-08-12,1948,8,12,99.0,5.0,19.8,Summer
84,CT,Northeast,NORFOLK 2 SW,1948-09-09,1948,9,9,52.0,1.0,52.0,Fall
85,CT,Northeast,NORFOLK 2 SW,1948-09-10,1948,9,10,1.0,1.0,1.0,Fall
86,CT,Northeast,NORFOLK 2 SW,1948-09-10,1948,9,10,1.0,1.0,1.0,Fall
87,CT,Northeast,NORFOLK 2 SW,1948-09-18,1948,9,18,35.0,4.0,8.75,Fall
88,CT,Northeast,NORFOLK 2 SW,1948-09-30,1948,9,30,10.0,3.0,3.3333333333333335,Fall
89,CT,Northeast,NORFOLK 2 SW,1948-09-30,1948,9,30,14.0,2.0,7.0,Fall
90,CT,Northeast,NORFOLK 2 SW,1948-09-30,1948,9,30,43.0,3.0,14.333333333333334,Fall
91,CT,Northeast,NORFOLK 2 SW,1948-10-08,1948,10,8,5.0,3.0,1.6666666666666667,Fall
92,CT,Northeast,NORFOLK 2 SW,1948-10-08,1948,10,8,65.0,7.0,9.285714285714286,Fall
93,CT,Northeast,NORFOLK 2 SW,1948-10-08,1948,10,8,1.0,1.0,1.0,Fall
94,CT,Northeast,NORFOLK 2 SW,1948-10-10,1948,10,10,6.0,2.0,3.0,Fall
95,CT,Northeast,NORFOLK 2 SW,1948-10-10,1948,10,10,1.0,1.0,1.0,Fall
96,CT,Northeast,NORFOLK 2 SW,1948-10-11,1948,10,11,2.0,2.0,1.0,Fall
97,CT,Northeast,NORFOLK 2 SW,1948-10-13,1948,10,13,3.0,2.0,1.5,Fall
98,CT,Northeast,NORFOLK 2 SW,1948-10-14,1948,10,14,1.0,1.0,1.0,Fall
99,CT,Northeast,NORFOLK 2 SW,1948-10-17,1948,10,17,1.0,1.0,1.0,Fall
100,CT,Northeast,NORFOLK 2 SW,1948-10-18,1948,10,18,2.0,2.0,1.0,Fall
101,CT,Northeast,NORFOLK 2 SW,1948-10-18,1948,10,18,1.0,1.0,1.0,Fall
102,CT,Northeast,NORFOLK 2 SW,1948-10-18,1948,10,18,7.0,2.0,3.5,Fall
103,CT,Northeast,NORFOLK 2 SW,1948-10-18,1948,10,18,20.0,3.0,6.666666666666667,Fall
104,CT,Northeast,NORFOLK 2 SW,1948-10-24,1948,10,24,2.0,2.0,1.0,Fall
105,CT,Northeast,NORFOLK 2 SW,1948-10-24,1948,10,24,3.0,2.0,1.5,Fall
106,CT,Northeast,NORFOLK 2 SW,1948-10-25,1948,10,25,2.0,2.0,1.0,Fall
107,CT,Northeast,NORFOLK 2 SW,1948-11-03,1948,11,3,14.0,6.0,2.3333333333333335,Fall
108,CT,Northeast,NORFOLK 2 SW,1948-11-04,1948,11,4,21.0,6.0,3.5,Fall
109,CT,Northeast,NORFOLK 2 SW,1948-11-04,1948,11,4,34.0,8.0,4.25,Fall
110,CT,Northeast,NORFOLK 2 SW,1948-11-07,1948,11,7,43.0,6.0,7.166666666666667,Fall
111,CT,Northeast,NORFOLK 2 SW,1948-11-10,1948,11,10,3.0,2.0,1.5,Fall
112,CT,Northeast,NORFOLK 2 SW,1948-11-10,1948,11,10,150.0,11.0,13.636363636363637,Fall
113,CT,Northeast,NORFOLK 2 SW,1948-11-10,1948,11,10,6.0,2.0,3.0,Fall
114,CT,Northeast,NORFOLK 2 SW,1948-11-13,1948,11,13,8.0,2.0,4.0,Fall
115,CT,Northeast,NORFOLK 2 SW,1948-11-17,1948,11,17,5.0,2.0,2.5,Fall
116,CT,Northeast,NORFOLK 2 SW,1948-11-19,1948,11,19,60.0,10.0,6.0,Fall
117,CT,Northeast,NORFOLK 2 SW,1948-11-20,1948,11,20,60.0,8.0,7.5,Fall
118,CT,Northeast,NORFOLK 2 SW,1948-11-20,1948,11,20,10.0,1.0,10.0,Fall
119,CT,Northeast,NORFOLK 2 SW,1948-11-22,1948,11,22,21.0,8.0,2.625,Fall
120,CT,Northeast,NORFOLK 2 SW,1948-11-22,1948,11,22,3.0,2.0,1.5,Fall
121,CT,Northeast,NORFOLK 2 SW,1948-11-23,1948,11,23,4.0,2.0,2.0,Fall
122,CT,Northeast,NORFOLK 2 SW,1948-11-27,1948,11,27,17.0,7.0,2.4285714285714284,Fall
123,CT,Northeast,NORFOLK 2 SW,1948-11-27,1948,11,27,4.0,1.0,4.0,Fall
124,CT,Northeast,NORFOLK 2 SW,1948-11-29,1948,11,29,27.0,8.0,3.375,Fall
125,CT,Northeast,NORFOLK 2 SW,1948-12-06,1948,12,6,1.0,1.0,1.0,Winter
126,CT,Northeast,NORFOLK 2 SW,1948-12-06,1948,12,6,21.0,5.0,4.2,Winter
127,CT,Northeast,NORFOLK 2 SW,1948-12-12,1948,12,12,27.0,4.0,6.75,Winter
128,CT,Northeast,NORFOLK 2 SW,1948-12-13,1948,12,13,18.0,2.0,9.0,Winter
129,CT,Northeast,NORFOLK 2 SW,1948-12-14,1948,12,14,5.0,1.0,5.0,Winter
130,CT,Northeast,NORFOLK 2 SW,1948-12-15,1948,12,15,19.0,7.0,2.7142857142857144,Winter
131,CT,Northeast,NORFOLK 2 SW,1948-12-16,1948,12,16,2.0,1.0,2.0,Winter
132,CT,Northeast,NORFOLK 2 SW,1948-12-16,1948,12,16,21.0,6.0,3.5,Winter
133,CT,Northeast,NORFOLK 2 SW,1948-12-16,1948,12,16,2.0,2.0,1.0,Winter
134,CT,Northeast,NORFOLK 2 SW,1948-12-16,1948,12,16,2.0,1.0,2.0,Winter
135,CT,Northeast,NORFOLK 2 SW,1948-12-17,1948,12,17,2.0,2.0,1.0,Winter
136,CT,Northeast,NORFOLK 2 SW,1948-12-19,1948,12,19,44.0,15.0,2.933333333333333,Winter
137,CT,Northeast,NORFOLK 2 SW,1948-12-20,1948,12,20,2.0,2.0,1.0,Winter
138,CT,Northeast,NORFOLK 2 SW,1948-12-22,1948,12,22,8.0,5.0,1.6,Winter
139,CT,Northeast,NORFOLK 2 SW,1948-12-22,1948,12,22,1.0,1.0,1.0,Winter
140,CT,Northeast,NORFOLK 2 SW,1948-12-29,1948,12,29,1.0,1.0,1.0,Winter
141,CT,Northeast,NORFOLK 2 SW,1948-12-29,1948,12,29,104.0,15.0,6.933333333333334,Winter
142,CT,Northeast,NORFOLK 2 SW,1948-12-30,1948,12,30,28.0,5.0,5.6,Winter
143,CT,Northeast,NORFOLK 2 SW,1948-12-30,1948,12,30,371.0,17.0,21.823529411764707,Winter
144,CT,Northeast,NORFOLK 2 SW,1948-12-31,1948,12,31,504.0,24.0,21.0,Winter
145,CT,Northeast,NORFOLK 2 SW,1949-01-01,1949,1,1,14.0,6.0,2.3333333333333335,Winter
146,CT,Northeast,NORFOLK 2 SW,1949-01-01,1949,1,1,2.0,1.0,2.0,Winter
147,CT,Northeast,NORFOLK 2 SW,1949-01-01,1949,1,1,4.0,3.0,1.3333333333333333,Winter
148,CT,Northeast,NORFOLK 2 SW,1949-01-01,1949,1,1,1.0,1.0,1.0,Winter
149,CT,Northeast,NORFOLK 2 SW,1949-01-05,1949,1,5,11.0,5.0,2.2,Winter
150,CT,Northeast,NORFOLK 2 SW,1949-01-05,1949,1,5,2.0,2.0,1.0,Winter
151,CT,Northeast,NORFOLK 2 SW,1949-01-05,1949,1,5,138.0,15.0,9.2,Winter
152,CT,Northeast,NORFOLK 2 SW,1949-01-06,1949,1,6,82.0,9.0,9.11111111111111,Winter
153,CT,Northeast,NORFOLK 2 SW,1949-01-18,1949,1,18,3.0,3.0,1.0,Winter
154,CT,Northeast,NORFOLK 2 SW,1949-01-19,1949,1,19,3.0,2.0,1.5,Winter
155,CT,Northeast,NORFOLK 2 SW,1949-01-19,1949,1,19,17.0,7.0,2.4285714285714284,Winter
156,CT,Northeast,NORFOLK 2 SW,1949-01-19,1949,1,19,1.0,1.0,1.0,Winter
157,CT,Northeast,NORFOLK 2 SW,1949-01-21,1949,1,21,55.0,9.0,6.111111111111111,Winter
158,CT,Northeast,NORFOLK 2 SW,1949-01-22,1949,1,22,27.0,6.0,4.5,Winter
159,CT,Northeast,NORFOLK 2 SW,1949-01-22,1949,1,22,3.0,1.0,3.0,Winter
160,CT,Northeast,NORFOLK 2 SW,1949-01-22,1949,1,22,9.0,4.0,2.25,Winter
161,CT,Northeast,NORFOLK 2 SW,1949-01-23,1949,1,23,2.0,1.0,2.0,Winter
162,CT,Northeast,NORFOLK 2 SW,1949-01-24,1949,1,24,8.0,5.0,1.6,Winter
163,CT,Northeast,NORFOLK 2 SW,1949-01-24,1949,1,24,10.0,5.0,2.0,Winter
164,CT,Northeast,NORFOLK 2 SW,1949-01-26,1949,1,26,70.0,15.0,4.666666666666667,Winter
165,CT,Northeast,NORFOLK 2 SW,1949-01-27,1949,1,27,3.0,3.0,1.0,Winter
166,CT,Northeast,NORFOLK 2 SW,1949-01-28,1949,1,28,26.0,5.0,5.2,Winter
167,CT,Northeast,NORFOLK 2 SW,1949-01-28,1949,1,28,10.0,2.0,5.0,Winter
168,CT,Northeast,NORFOLK 2 SW,1949-01-28,1949,1,28,5.0,4.0,1.25,Winter
169,CT,Northeast,NORFOLK 2 SW,1949-02-04,1949,2,4,23.0,8.0,2.875,Winter
170,CT,Northeast,NORFOLK 2 SW,1949-02-07,1949,2,7,3.0,2.0,1.5,Winter
171,CT,Northeast,NORFOLK 2 SW,1949-02-07,1949,2,7,11.0,3.0,3.6666666666666665,Winter
172,CT,Northeast,NORFOLK 2 SW,1949-02-13,1949,2,13,3.0,3.0,1.0,Winter
173,CT,Northeast,NORFOLK 2 SW,1949-02-13,1949,2,13,1.0,1.0,1.0,Winter
174,CT,Northeast,NORFOLK 2 SW,1949-02-15,1949,2,15,5.0,2.0,2.5,Winter
175,CT,Northeast,NORFOLK 2 SW,1949-02-15,1949,2,15,38.0,8.0,4.75,Winter
176,CT,Northeast,NORFOLK 2 SW,1949-02-16,1949,2,16,1.0,1.0,1.0,Winter
177,CT,Northeast,NORFOLK 2 SW,1949-02-16,1949,2,16,17.0,3.0,5.666666666666667,Winter
178,CT,Northeast,NORFOLK 2 SW,1949-02-17,1949,2,17,3.0,2.0,1.5,Winter
179,CT,Northeast,NORFOLK 2 SW,1949-02-17,1949,2,17,4.0,2.0,2.0,Winter
180,CT,Northeast,NORFOLK 2 SW,1949-02-20,1949,2,20,35.0,8.0,4.375,Winter
181,CT,Northeast,NORFOLK 2 SW,1949-02-22,1949,2,22,6.0,3.0,2.0,Winter
182,CT,Northeast,NORFOLK 2 SW,1949-02-22,1949,2,22,1.0,1.0,1.0,Winter
183,CT,Northeast,NORFOLK 2 SW,1949-02-22,1949,2,22,2.0,2.0,1.0,Winter
184,CT,Northeast,NORFOLK 2 SW,1949-02-22,1949,2,22,22.0,4.0,5.5,Winter
185,CT,Northeast,NORFOLK 2 SW,1949-02-23,1949,2,23,11.0,2.0,5.5,Winter
186,CT,Northeast,NORFOLK 2 SW,1949-02-25,1949,2,25,15.0,5.0,3.0,Winter
187,CT,Northeast,NORFOLK 2 SW,1949-02-25,1949,2,25,2.0,2.0,1.0,Winter
188,CT,Northeast,NORFOLK 2 SW,1949-02-25,1949,2,25,3.0,3.0,1.0,Winter
189,CT,Northeast,NORFOLK 2 SW,1949-02-25,1949,2,25,10.0,3.0,3.3333333333333335,Winter
190,CT,Northeast,NORFOLK 2 SW,1949-02-28,1949,2,28,131.0,16.0,8.1875,Winter
191,CT,Northeast,NORFOLK 2 SW,1949-03-01,1949,3,1,58.0,9.0,6.444444444444445,Spring
