STATION,STATION_NAME,DATE,HPCP
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900810 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900813 18:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900813 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900818 21:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900819 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900819 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 00:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 03:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 04:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 05:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 06:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 08:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900821 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900821 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900901 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900913 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900913 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900916 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900916 18:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900921 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 06:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 07:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900926 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901001 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901004 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901004 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 06:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 07:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 08:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 09:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 11:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901011 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901012 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901012 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 01:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 02:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 03:00,0.50
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 04:00,1.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901013 08:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901018 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901018 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901018 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901018 17:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901018 18:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901022 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 06:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 07:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 08:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 09:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 10:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 11:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901023 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901101 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901105 23:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901106 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901108 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 05:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901110 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901111 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901117 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901123 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901123 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901123 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901201 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 12:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 15:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901203 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901204 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901204 03:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901204 04:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901206 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901215 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901215 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901215 12:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901215 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901215 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901217 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901218 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901221 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901221 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901221 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901222 14:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910101 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910101 01:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910101 10:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910101 12:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910201 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910201 01:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910301 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910301 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910302 05:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910303 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910303 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910303 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 01:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 03:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 04:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 05:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910304 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910306 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910306 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910306 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910313 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910313 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910314 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910314 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910314 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910314 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910318 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910318 03:00,0.20
